"film_id","title","rental_rate","inventory_count"
430,"Hook Chariots","0.99","4"
878,"Teen Apollo","4.99","4"
241,"Donnie Alley","0.99","4"
299,"Factory Dragon","0.99","4"
673,"Personal Ladybugs","0.99","4"
440,"Hunger Roof","0.99","4"
932,"Valley Packer","0.99","4"
881,"Temple Attraction","4.99","4"
446,"Hysterical Grail","4.99","4"
535,"Love Suicides","0.99","4"
678,"Pickup Driving","2.99","4"
452,"Illusion Amelie","0.99","4"
679,"Pilot Hoosiers","2.99","4"
296,"Express Lonely","2.99","4"
455,"Impossible Prejudice","4.99","4"
987,"Words Hunter","2.99","4"
916,"Turn Star","2.99","4"
153,"Citizen Shrek","0.99","4"
686,"Pluto Oleander","4.99","4"
688,"Polish Brooklyn","0.99","4"
882,"Tenenbaums Command","0.99","4"
291,"Evolution Alter","0.99","4"
287,"Entrapment Satisfaction","0.99","4"
236,"Divine Resurrection","2.99","4"
474,"Jade Bunch","2.99","4"
250,"Dragon Squad","0.99","4"
58,"Beach Heartbreakers","2.99","4"
205,"Dances None","0.99","4"
152,"Circus Youth","2.99","4"
480,"Jeepers Wedding","2.99","4"
13,"Ali Forever","4.99","4"
3,"Adaptation Holes","2.99","4"
151,"Cincinatti Whisperer","4.99","4"
886,"Theory Mermaid","0.99","4"
42,"Artist Coldblooded","2.99","4"
276,"Element Freddy","4.99","4"
203,"Daisy Menagerie","4.99","4"
888,"Thin Sagebrush","4.99","4"
272,"Edge Kissing","4.99","4"
585,"Mob Duffel","0.99","4"
918,"Twisted Pirates","4.99","4"
260,"Dude Blindness","4.99","4"
258,"Drums Dynamite","0.99","4"
705,"Purple Movie","2.99","4"
708,"Quills Bull","4.99","4"
505,"Labyrinth League","2.99","4"
711,"Raging Airplane","4.99","4"
588,"Model Fish","4.99","4"
589,"Modern Dorado","0.99","4"
919,"Tycoon Gathering","4.99","4"
592,"Monster Spartacus","2.99","4"
717,"Rear Trading","0.99","4"
137,"Charade Duffel","2.99","4"
593,"Monterey Labyrinth","0.99","4"
113,"California Birds","4.99","4"
722,"Reef Salute","0.99","4"
939,"Vertigo Northwest","2.99","4"
229,"Devil Desire","4.99","4"
597,"Moonwalker Fool","4.99","4"
729,"Rider Caddyshack","2.99","4"
598,"Mosquito Armageddon","0.99","4"
732,"Rings Heartbreakers","0.99","4"
736,"Robbery Bright","0.99","4"
896,"Tootsie Pilot","0.99","4"
942,"Vietnam Smoochy","0.99","4"
111,"Caddyshack Jedi","0.99","4"
600,"Motions Details","0.99","4"
526,"Lock Rear","2.99","4"
561,"Mask Peach","2.99","4"
749,"Rules Human","4.99","4"
40,"Army Flintstones","0.99","4"
110,"Cabin Flash","0.99","4"
133,"Chamber Italian","4.99","4"
921,"Uncut Suicides","2.99","4"
201,"Cyclone Family","2.99","4"
194,"Crow Grease","0.99","4"
946,"Virtual Spoilers","4.99","4"
34,"Arabia Dogma","0.99","4"
762,"Sassy Packer","0.99","4"
510,"Lawless Vision","4.99","4"
765,"Saturn Name","4.99","4"
27,"Anonymous Human","0.99","4"
190,"Creepers Kane","4.99","4"
186,"Craft Outfield","0.99","4"
788,"Ship Wonderland","2.99","4"
774,"Searchers Wait","2.99","4"
615,"Nash Chocolat","2.99","4"
544,"Madison Trap","2.99","4"
92,"Bowfinger Gables","4.99","4"
618,"Necklace Outbreak","0.99","4"
88,"Born Spinal","4.99","4"
783,"Shane Darkness","2.99","4"
24,"Analyze Hoosiers","2.99","4"
298,"Eyes Driving","2.99","5"
894,"Tomatoes Hellfighters","0.99","5"
511,"Lawrence Love","0.99","5"
251,"Dragonfly Strangers","4.99","5"
898,"Tourist Pelican","4.99","5"
242,"Doom Dancing","0.99","5"
232,"Dirty Ace","2.99","5"
560,"Mars Roman","0.99","5"
7,"Airplane Sierra","4.99","5"
54,"Banger Pinocchio","0.99","5"
534,"Louisiana Harry","0.99","5"
536,"Lovely Jingle","2.99","5"
50,"Baked Cleopatra","2.99","5"
906,"Tramp Others","0.99","5"
227,"Details Packer","4.99","5"
226,"Destiny Saturday","4.99","5"
216,"Day Unfaithful","4.99","5"
557,"Manchurian Curtain","2.99","5"
212,"Darn Forrester","4.99","5"
570,"Mermaid Insects","4.99","5"
574,"Midnight Westward","0.99","5"
44,"Attacks Hate","4.99","5"
578,"Million Ace","4.99","5"
917,"Tuxedo Mile","2.99","5"
583,"Mission Zoolander","4.99","5"
920,"Unbreakable Karate","0.99","5"
599,"Mother Oleander","0.99","5"
601,"Moulin Wake","0.99","5"
602,"Mourning Purple","0.99","5"
610,"Music Boondock","0.99","5"
980,"Wizard Coldblooded","4.99","5"
620,"Nemo Campus","2.99","5"
623,"Newton Labyrinth","0.99","5"
924,"Unforgiven Zoolander","0.99","5"
628,"Northwest Polish","2.99","5"
925,"United Pilot","0.99","5"
631,"Novocaine Flight","0.99","5"
175,"Confused Candles","2.99","5"
637,"Open African","4.99","5"
173,"Confessions Maguire","4.99","5"
646,"Outbreak Divine","0.99","5"
165,"Coldblooded Darling","4.99","5"
184,"Core Suit","2.99","5"
663,"Patient Sister","0.99","5"
664,"Patriot Roman","2.99","5"
666,"Paycheck Wait","4.99","5"
668,"Peak Forever","4.99","5"
164,"Coast Rainbow","0.99","5"
160,"Club Graffiti","0.99","5"
158,"Clones Pinocchio","2.99","5"
155,"Cleopatra Devil","0.99","5"
691,"Poseidon Forever","4.99","5"
988,"Worker Tarzan","2.99","5"
693,"Potter Connecticut","2.99","5"
696,"Pride Alamo","0.99","5"
142,"Chicken Hellfighters","0.99","5"
141,"Chicago North","4.99","5"
704,"Pure Runner","2.99","5"
140,"Cheaper Clyde","0.99","5"
138,"Chariots Conspiracy","2.99","5"
937,"Varsity Trip","2.99","5"
716,"Reap Unfaithful","2.99","5"
123,"Casablanca Super","4.99","5"
727,"Resurrection Silverado","0.99","5"
728,"Reunion Witches","0.99","5"
9,"Alabama Devil","2.99","5"
739,"Rocky War","4.99","5"
744,"Roots Remember","0.99","5"
746,"Rouge Squad","0.99","5"
747,"Roxanne Rebel","0.99","5"
105,"Bull Shawshank","0.99","5"
944,"Virgin Daisy","4.99","5"
757,"Sagebrush Clueless","2.99","5"
763,"Satisfaction Confidential","4.99","5"
95,"Breakfast Goldfinger","4.99","5"
991,"Worst Banger","2.99","5"
775,"Seattle Expecations","4.99","5"
776,"Secret Groundhog","4.99","5"
26,"Annie Identity","0.99","5"
796,"Sierra Divide","0.99","5"
797,"Silence Kane","0.99","5"
83,"Blues Instinct","2.99","5"
805,"Sleepless Monsoon","4.99","5"
806,"Sleepy Japanese","2.99","5"
807,"Sleuth Orient","0.99","5"
957,"War Notting","4.99","5"
23,"Anaconda Confessions","0.99","5"
818,"Something Duck","4.99","5"
74,"Birch Antitrust","4.99","5"
961,"Wash Heavenly","4.99","5"
829,"Spinal Rocky","2.99","5"
963,"Watch Tracy","0.99","5"
964,"Waterfront Deliverance","4.99","5"
967,"Weekend Personal","2.99","5"
999,"Zoolander Fiction","2.99","5"
862,"Summer Scarface","0.99","5"
871,"Sweden Shining","4.99","5"
354,"Ghost Groundhog","4.99","5"
370,"Gorgeous Bingo","2.99","5"
373,"Graduate Lord","2.99","5"
380,"Greek Everyone","2.99","5"
381,"Grinch Massage","4.99","5"
383,"Groove Fiction","0.99","5"
385,"Groundhog Uncut","4.99","5"
345,"Gables Metropolis","0.99","5"
344,"Fury Murder","0.99","5"
336,"French Holiday","4.99","5"
410,"Heaven Freedom","2.99","5"
324,"Flintstones Happiness","4.99","5"
59,"Bear Graceland","2.99","5"
420,"Holes Brannigan","4.99","5"
424,"Holocaust Highball","0.99","5"
877,"Taxi Kick","0.99","5"
432,"Hope Tootsie","2.99","5"
438,"Human Graffiti","2.99","5"
254,"Driver Annie","2.99","5"
448,"Idaho Love","2.99","5"
451,"Igby Maker","4.99","5"
453,"Image Princess","2.99","5"
294,"Expecations Natural","4.99","5"
462,"Insider Arizona","2.99","5"
463,"Instinct Airport","2.99","5"
465,"Interview Liaisons","4.99","5"
293,"Exorcist Sting","2.99","5"
473,"Jacket Frisco","2.99","5"
286,"Enough Raging","2.99","5"
478,"Jaws Harry","2.99","5"
479,"Jedi Beneath","0.99","5"
483,"Jericho Mulan","2.99","5"
56,"Barefoot Manchurian","2.99","5"
488,"Joon Northwest","0.99","5"
275,"Egypt Tenenbaums","0.99","5"
496,"Kick Savannah","0.99","5"
271,"Easy Gladiator","4.99","5"
501,"Kissing Dolls","4.99","5"
975,"Willow Tracy","2.99","5"
